Date,Time,Happiness,Activity
3/26/23,0.00,4,3
3/26/23,0.71,3,2
3/26/23,0.88,4,1
3/27/23,0.00,2,1
3/27/23,0.71,3,3
3/27/23,0.88,4,1
3/28/23,0.00,4,1
3/28/23,0.71,3,1
3/28/23,0.88,1,3
3/29/23,0.00,5,4
3/29/23,0.71,4,4
3/29/23,0.88,4,2
3/30/23,0.00,3,1
3/30/23,0.71,3,4
3/30/23,0.88,4,1
3/31/23,0.00,5,2
3/31/23,0.71,5,1
4/1/23,0.00,4,2
4/1/23,0.71,5,1
4/1/23,0.88,3,2
4/2/23,0.00,4,3
4/2/23,0.71,4,1
4/2/23,0.88,3,1
4/3/23,0.00,3,3
4/3/23,0.71,4,3
4/3/23,0.88,2,1
4/4/23,0.00,1,1
4/4/23,0.71,3,3
4/4/23,0.88,3,1
4/5/23,0.00,3,3
4/5/23,0.71,1,5
4/5/23,0.88,1,1
4/6/23,0.00,5,1
4/6/23,0.71,2,3
4/6/23,0.88,4,3
4/7/23,0.00,2,3
4/7/23,0.71,2,4
4/7/23,0.88,4,1
4/8/23,0.00,1,1
4/8/23,0.71,3,3
4/8/23,0.88,4,4
4/9/23,0.00,5,3
4/9/23,0.71,4,3
4/9/23,0.88,2,1
4/10/23,0.00,3,3
4/10/23,0.71,4,3
4/10/23,0.88,1,1
4/11/23,0.00,2,1
4/11/23,0.71,2,4
4/11/23,0.88,4,4
4/12/23,0.00,4,1
4/12/23,0.71,4,3
4/12/23,0.88,5,1
4/13/23,0.00,4,3
4/13/23,0.71,3,3
4/13/23,0.88,3,1
4/14/23,0.00,2,1
4/14/23,0.71,3,3
4/14/23,0.88,4,1
4/15/23,0.00,5,1
4/15/23,0.71,4,1
4/15/23,0.88,3,3
4/16/23,0.00,4,1
4/16/23,0.71,4,3
4/16/23,0.88,2,1